duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,serror_rate,srv_serror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
20.905811,2.0,10.0,8.0,0.0,0.0,0.0007521196,0.003071031,0.0,0.020560363,0.001967276,3.5206134,0.0,0.0023684043,0.0,0.024013402,0.0,0.0029320498,0.0,0.0,0.0054013105,7.262854,1.1806692,0.0024437767,0.0042875563,0.99887836,0.004670762,134.1712,0.35652038,0.014142975,0.4077889,0.059597217,0.002718717,0.0007954071,0.0,0.84799397
3.6448822,2.0,25.0,1.0,0.0,0.0,0.0027253188,0.0026251394,0.0011160693,0.0,0.0014649372,0.95136565,0.0,0.0023275302,0.0,0.0,0.0,0.0002709876,0.0,0.00035751122,0.005904295,21.896227,0.0022017658,0.0026538142,0.006037184,0.9943906,0.0017470993,249.90236,0.98058575,0.46710995,0.036158103,0.033684947,0.002633314,0.0,0.0,0.0
39.88964,0.0,8.0,8.0,12790.78,0.0,0.0,0.0022431563,0.0023981913,0.0,0.0,1.7236583,0.0,0.0018218921,0.0,0.010949071,0.0,0.0011440947,0.0,0.0,0.006022447,5.8755627,1.3992355,0.004119615,0.008254272,0.0,0.0038140574,245.9933,0.98357654,0.0,0.025597498,0.029184436,0.0,0.0,0.0,0.006173045
0.0,1.0,13.0,8.0,0.0,8099.7104,0.0012915183,0.0029892,0.00031799264,0.096909344,0.0017969607,0.0,0.0013083376,0.00070268963,0.0,0.0,0.0,0.0046979934,0.0,0.0,0.00044816028,6.592715,0.0016268431,0.0019134047,1.096296,1.0001339,0.0,252.87831,0.9852062,0.062044192,1.0584784,0.0,0.004041524,0.00011084602,0.0,0.004224743
0.0,2.0,2.0,8.0,0.0,17104.72,0.0034618715,0.0,0.0,0.015992543,0.0031559572,0.0,0.0,0.0025158243,0.0,0.0,0.0,0.003148196,0.0,0.0,0.0030173326,7.63401,0.003976336,0.005062255,1.1316916,0.13485634,0.0,256.0678,0.5918189,0.025522787,0.52910405,0.015710555,0.0,0.0,0.82178557,0.0034936755
0.0,1.0,23.0,8.0,143.17978,0.0,0.00035891763,0.00311064,0.0,0.0,0.0,0.55080587,0.0,0.00087928784,0.0,0.0,0.0,0.002506198,0.0,0.0,0.0055764248,5.0843296,0.0,0.0,1.147827,0.14139605,0.0,0.0,0.99468243,0.03181222,0.019481724,0.0035173963,0.0024684193,0.00225722,0.0,0.009297066
57.111607,2.0,4.0,8.0,0.0,0.0,0.00036226228,0.0025955164,0.0,0.030358654,0.0018618396,2.8357253,0.0,0.003661696,0.0,0.0,0.0,0.00279254,0.0,0.0,0.001449307,377.23242,0.0,0.0050587934,0.008759849,0.9936944,0.0,197.38199,0.17325924,0.0,0.033722702,0.003759376,0.0,0.0029430944,0.8381806,0.0029246598
10.426375,1.0,10.0,7.0,7070.529,0.0,0.0014775165,0.0031114572,0.0,0.0,0.0017712214,2.9442437,0.0,0.0030469235,0.18051735,0.0,0.0,0.006045652,0.0,0.00066366885,0.006042737,5.8332343,0.0024453588,0.003193395,0.008770053,0.9966386,0.0046225544,257.7437,0.806209,0.00138343,0.0840812,0.0016657814,0.0,0.0,0.0,0.008071798
42.34075,2.0,1.0,8.0,0.0,1301.3735,0.0032629785,0.0030409577,0.0003390568,0.06319851,0.002728702,0.0,0.0,0.0025030563,0.0,0.0,0.0,0.005304907,7.6970224e-05,0.0,0.0049064658,19.803633,0.00057203585,0.0,0.006944339,0.4306934,0.006619061,245.7207,0.98791957,0.018247023,1.1016661,0.0016147092,0.0,0.0,0.0,0.0
1158.3423,0.0,8.0,8.0,6591.082,742.57153,0.00043271267,0.002979287,0.000351399,0.0,0.0020394342,0.0,0.0,0.003429719,0.0,0.0025408105,0.0,0.003916473,0.0,0.0,0.0038560096,5.803182,0.0,0.0,0.007318959,0.9946165,0.0,244.61266,0.5458388,0.030362919,1.2116449,0.0031391904,0.0,0.0048385933,0.0,0.0
